athlete,athleteLabel,sportLabel,award,awardLabel,medalTypeLabel,year,countryLabel
http://www.wikidata.org/entity/Q276867,Елена Михайловна Билосюк,биатлон,http://www.wikidata.org/entity/Q29561485,орден княгини Ольги II степени,,2014,Украина
http://www.wikidata.org/entity/Q276867,Елена Михайловна Билосюк,биатлон,http://www.wikidata.org/entity/Q29561485,орден княгини Ольги II степени,,2014,СССР
http://www.wikidata.org/entity/Q359348,Мартен Фуркад,биатлон,http://www.wikidata.org/entity/Q10855271,кавалер ордена Почётного легиона,,2014,Франция
http://www.wikidata.org/entity/Q265382,Валентина Александровна Семеренко,биатлон,http://www.wikidata.org/entity/Q29017281,орден «За заслуги» III степени,,2015,Украина
http://www.wikidata.org/entity/Q1902948,Марте Олсбю-Ройселанн,биатлон,http://www.wikidata.org/entity/Q11981660,Kongepokal,,2015,Норвегия
http://www.wikidata.org/entity/Q1913846,"Цветков, Максим Сергеевич",биатлон,http://www.wikidata.org/entity/Q32164,заслуженный мастер спорта России,,2015,Россия
http://www.wikidata.org/entity/Q111094702,Eliška Václavíková,биатлон,http://www.wikidata.org/entity/Q63408421,Заслуженный спортсмен края Высочина,,2017,Чехия
http://www.wikidata.org/entity/Q110770163,Jonáš Mareček,биатлон,http://www.wikidata.org/entity/Q63408421,Заслуженный спортсмен края Высочина,,2017,Чехия
http://www.wikidata.org/entity/Q2643283,Александр Викторович Логинов,биатлон,http://www.wikidata.org/entity/Q32164,заслуженный мастер спорта России,,2017,Россия
http://www.wikidata.org/entity/Q1902948,Марте Олсбю-Ройселанн,биатлон,http://www.wikidata.org/entity/Q11981660,Kongepokal,,2017,Норвегия
http://www.wikidata.org/entity/Q110770163,Jonáš Mareček,биатлон,http://www.wikidata.org/entity/Q63408421,Заслуженный спортсмен края Высочина,,2018,Чехия
http://www.wikidata.org/entity/Q271238,Анаис Бескон,биатлон,http://www.wikidata.org/entity/Q10855271,кавалер ордена Почётного легиона,,2018,Франция
http://www.wikidata.org/entity/Q488759,Анаис Шевалье-Буше,биатлон,http://www.wikidata.org/entity/Q13422138,кавалер ордена «За заслуги» (Франция),,2018,Франция
http://www.wikidata.org/entity/Q209193,Дарья Владимировна Домрачева,биатлон,http://www.wikidata.org/entity/Q3885142,орден «За личное мужество»,,2018,Россия
http://www.wikidata.org/entity/Q209193,Дарья Владимировна Домрачева,биатлон,http://www.wikidata.org/entity/Q3885142,орден «За личное мужество»,,2018,Беларусь
http://www.wikidata.org/entity/Q209193,Дарья Владимировна Домрачева,биатлон,http://www.wikidata.org/entity/Q3885142,орден «За личное мужество»,,2018,СССР
http://www.wikidata.org/entity/Q18586287,Жюстин Брезаз,биатлон,http://www.wikidata.org/entity/Q13422138,кавалер ордена «За заслуги» (Франция),,2018,Франция
http://www.wikidata.org/entity/Q1334428,Йоханнес Тинес Бё,биатлон,http://www.wikidata.org/entity/Q11981660,Kongepokal,,2018,Норвегия
http://www.wikidata.org/entity/Q1902948,Марте Олсбю-Ройселанн,биатлон,http://www.wikidata.org/entity/Q11981660,Kongepokal,,2018,Норвегия
http://www.wikidata.org/entity/Q359348,Мартен Фуркад,биатлон,http://www.wikidata.org/entity/Q10855195,офицер ордена Почётного легиона,,2018,Франция
http://www.wikidata.org/entity/Q27999595,Ханна Эберг,биатлон,http://www.wikidata.org/entity/Q2297250,Svenska Dagbladet Gold Medal,,2018,Швеция
http://www.wikidata.org/entity/Q27999595,Ханна Эберг,биатлон,http://www.wikidata.org/entity/Q663431,Jerring Award,,2018,Швеция
http://www.wikidata.org/entity/Q110770163,Jonáš Mareček,биатлон,http://www.wikidata.org/entity/Q63408421,Заслуженный спортсмен края Высочина,,2019,Чехия
http://www.wikidata.org/entity/Q18751187,Матвей Павлович Елисеев,биатлон,http://www.wikidata.org/entity/Q32164,заслуженный мастер спорта России,,2019,Россия
